ders	ünite_sıra	ünite_adı	konu_sıra	konu_adı	konu_özeti
Tarih	5	Boylardan Devlete-II	1	Asya Hun ve I. Kök Türk Devletleri	Asya Hun Devleti, tarihte bilinen ilk Türk devletidir ve Mete Han döneminde en güçlü zamanını yaşamıştır. Mete Han, Türk boylarını ilk kez siyasi birlik altında toplamış ve düzenli ilk Türk ordusunu kurmuştur. I. Kök Türk Devleti, Bumin Kağan tarafından 552’de kurulmuştur. Kök Türkler, Türk adını resmî devlet adı olarak kullanan ilk Türk devletidir.
Tarih	5	Boylardan Devlete-II	2	II. Kök Türk ve Uygur Devletleri	II. Kök Türk Devleti, Kutluk Kağan tarafından Çin egemenliğine son verilerek kurulmuştur. Bilge Kağan, Kül Tigin ve Tonyukuk devletin güçlenmesinde etkili olmuştur. Uygurlar, II. Kök Türk Devleti’ne son vererek 744’te devlet kurmuştur. Maniheizmi kabul etmeleri Uygurları savaşçılıktan uzaklaştırmış, yerleşik hayata geçmelerini hızlandırmıştır.
Tarih	5	Boylardan Devlete-II	3	İlk Türk Devletlerinde Töre	Töre; örf, âdet, gelenek ve ahlaki değerlerden oluşan sözlü hukuk kurallarıdır. Kağanın koyduğu kurallar ve kurultay kararları da törenin oluşumunda etkili olmuştur. Kağan dâhil herkes töreye uymak zorundaydı. Bu durum, Türklerde hukuk üstünlüğü anlayışının bulunduğunu gösterir.
Tarih	6	Kavimler Göçü	1	Kavimler Göçü ve Sonuçları	Kavimler Göçü, Hunların baskısıyla Germen kavimlerinin 376 yılında Roma topraklarına yönelmesiyle başlayan büyük nüfus hareketidir. Bu gelişme Roma İmparatorluğu’nun Doğu ve Batı Roma olarak ayrılmasına, Avrupa Hun Devleti’nin kurulmasına ve Avrupa milletlerinin temellerinin atılmasına yol açtı. Avrupa’da feodalite güç kazandı, kilisenin etkisi arttı ve skolastik düşünce yaygınlaştı. Bazı tarihçilere göre Kavimler Göçü İlk Çağ’ın sonu, Orta Çağ’ın başlangıcı kabul edilir.
Tarih	6	Kavimler Göçü	2	Avrupa Hun Devleti	Avrupa Hun Devleti, Balamir önderliğinde Avrupa’ya gelen Hunlar tarafından kuruldu. Uldız Han döneminde Doğu Roma ile iyi ilişkiler kurulması, Batı Roma üzerinde baskı oluşturulması siyaseti benimsendi. Devlet en güçlü dönemini Atilla zamanında yaşadı; Atilla Doğu Roma’yı Margus ve Anatolios Antlaşmaları ile vergiye bağladı, Batı Roma üzerine Galya Seferi’ni düzenledi. Avrupa’da Tanrı’nın Kırbacı olarak tanındı.
Tarih	6	Kavimler Göçü	3	Diğer Türk Boyları	Avarlar, İstanbul’u kuşatan ilk Türk devleti olarak bilinir. Hazarlar Museviliği benimseyen tek Türk devleti olmuş, Karluklar Talas Savaşı’nda Abbasilere destek vermiştir. Peçenekler Malazgirt Savaşı’nda Büyük Selçuklu Devleti’nin yanında yer almıştır. Bu boylar, Türklerin farklı coğrafyalarda siyasi ve kültürel etkisini göstermesi açısından önemlidir.
Tarih	7	İslamiyet'in Doğduğu Dönemde Dünya	1	İslam Öncesi Arap Yarımadası	İslamiyet öncesi Arap Yarımadası’nda siyasi birlik yoktu ve kabilecilik anlayışı hâkimdi. Putperestliğin yaygın olduğu bu dönem Cahiliye Dönemi olarak adlandırılır. Mekke önemli bir ticaret merkeziydi; Ukaz Panayırı ticari ve kültürel hayatın önemli merkezlerinden biriydi. Haram aylarda yapılan savaşlara Ficâr Savaşları denirdi.
Tarih	7	İslamiyet'in Doğduğu Dönemde Dünya	2	Dört Halife Dönemi	Dört Halife Dönemi’nde halifeler seçimle iş başına geldiği için bu dönem Cumhuriyet Dönemi olarak da adlandırılır. Hz. Ebubekir döneminde Kur’an-ı Kerim kitap hâline getirildi; Hz. Ömer döneminde İran, Irak, Suriye ve Mısır fethedildi. Hz. Osman döneminde ilk İslam donanması kuruldu ve Kur’an çoğaltılarak eyaletlere gönderildi. Hz. Ali döneminde Cemel Vakası ve Sıffin Savaşı gibi ilk büyük iç karışıklıklar yaşandı.
Tarih	8	Emeviler	1	Emevi Siyaseti ve Mevali Politikası	Emeviler döneminde Muaviye’nin oğlu Yezid’i veliaht göstermesiyle halifelik saltanata dönüştü. Kerbelâ Olayı, İslam dünyasında mezhep ayrılıklarının derinleşmesine neden oldu. Arap olmayan Müslümanlara ikinci sınıf muamele yapılmasına Mevali Politikası denir. Bu politika Türklerin İslamiyet’i kabulünü geciktirmiş ve Emevi yönetimine karşı tepkileri artırmıştır.
Tarih	9	Abbasi Devleti ve Türkler - Bilim	1	Abbasiler ve Mısır'da Kurulan Türk Devletleri	Abbasiler, Emevileri yıkarak kuruldu ve başkentlerini Bağdat yaptı. Mevali anlayışını kaldırarak Türklerin orduda ve devlet yönetiminde daha etkin görev almasını sağladılar. Tolunoğulları Mısır’da kurulan ilk Müslüman Türk devletidir; İhşidiler, Eyyubiler ve Memlükler de Mısır-Suriye çevresinde etkili oldu. Eyyubiler, Selahaddin Eyyubi döneminde Hıttin Savaşı ile Kudüs’ü Haçlılardan geri aldı.
Tarih	9	Abbasi Devleti ve Türkler - Bilim	2	İslam Medeniyetinde Âlimler	İslam medeniyetinde felsefe, tıp, matematik, astronomi ve coğrafya alanlarında önemli bilim insanları yetişmiştir. Farabi mantık ve felsefede İkinci Öğretmen olarak anılmıştır; İbn Sina El-Kanun fi’t-Tıbb adlı eseriyle tıp alanında öne çıkmıştır. Gazali dinî ilimler ve düşünce alanında, İbn Rüşd ise Aristo yorumlarıyla tanınmıştır. Bu âlimlerin eserleri hem İslam dünyasını hem Avrupa düşüncesini etkilemiştir.
Tarih	10	Türklerin İslamiyet'i Kabulü	1	Talas Savaşı ve İlk Türk İslam Devletleri	751 Talas Savaşı, Türklerle Müslüman Arapların yakınlaşmasını sağladı ve Türklerin İslamiyet’i benimseme sürecini hızlandırdı. Karahanlılar, Orta Asya’da kurulan ilk Müslüman Türk devletidir. Gazneliler ise Hindistan’a yaptıkları seferlerle İslamiyet’in yayılmasına katkı sağladı. Türklerin İslamiyet’i kabulünde Kök Tengri inancı ile İslamiyet arasındaki benzerlikler ve Abbasilerin hoşgörülü politikası etkili oldu.
Tarih	11	İslamiyet'in Türk Toplumuna Etkisi	1	Devlet Anlayışı ve Hükümdarlık Sembolleri	Türkler İslamiyet’i kabul ettikten sonra eski devlet geleneklerini İslami unsurlarla birleştirdi. Kut anlayışı, Allah’ın hükümdara verdiği yönetme yetkisi şeklinde yorumlandı. Hutbe okutmak, para bastırmak, menşur almak, çetr ve tıraz kullanmak hükümdarlık sembolleri arasında yer aldı. Cihat anlayışı da devletlerin fetih politikalarında etkili oldu.
Tarih	11	İslamiyet'in Türk Toplumuna Etkisi	2	Türk-İslam Dünyasında İlk Eserler	Kutadgu Bilig, Yusuf Has Hacip tarafından yazılmış ilk Türk-İslam siyasetnamesidir. Kaşgarlı Mahmut’un Divânü Lugati't-Türk adlı eseri Türkçeyi Araplara öğretmek amacıyla hazırlanmıştır. Ahmet Yesevi’nin Divân-ı Hikmet’i tasavvuf düşüncesini yaymıştır. Atabetü’l-Hakayık ise Edip Ahmet Yükneki tarafından yazılmış ahlakî öğütler içeren bir eserdir.
Tarih	12	Büyük Selçuklu Devleti	1	Kuruluş ve Anadolu Akınları	Büyük Selçuklu Devleti, 1040 Dandanakan Savaşı’ndan sonra resmen kuruldu. Tuğrul Bey, Abbasi halifesini Büveyhoğullarından kurtararak İslam dünyasında saygınlık kazandı. 1048 Pasinler Savaşı Bizans ile yapılan ilk savaş, 1071 Malazgirt Zaferi ise Anadolu’nun Türklere yurt olmasını sağlayan dönüm noktasıdır. Malazgirt’ten sonra Anadolu’da Türk beylikleri kurulmaya başladı.
Tarih	12	Büyük Selçuklu Devleti	2	Yönetim ve Kültür	Büyük Selçuklu Devleti’nde mali işlerden Divan-ı İstifa, askerî işlerden Divan-ı Arz sorumluydu. Devlet yönetiminde vezirlik önemliydi; Nizamülmülk bu alanda öne çıkan devlet adamıdır. Nizamiye Medreseleri eğitim ve bilim hayatını geliştirmek, Bâtınilik hareketine karşı Sünni düşünceyi güçlendirmek amacıyla açıldı. Selçuklu teşkilatı, sonraki Türk-İslam devletlerine örnek oldu.
Tarih	13	Türklerin Anadolu'ya Yerleşme Süreci	1	Anadolu'ya İlk Akınlar ve Türkiye Adı	Türkler Anadolu’ya ilk kez Avrupa Hunları, daha sonra Sabarlar döneminde akınlar düzenledi. 1071 Malazgirt Zaferi ile Anadolu’nun yurt edinilme süreci başladı. Bizans’ın Anadolu’daki gücü zayıfladı ve Türk beyliklerinin kurulması kolaylaştı. Türkiye adı XII. yüzyıldan itibaren Anadolu için kullanılmaya başlanmıştır.
Tarih	13	Türklerin Anadolu'ya Yerleşme Süreci	2	Oğuz Göçlerinin Nedenleri	Oğuzların Anadolu’ya yönelmesinde verimli topraklar, uygun iklim, hayvancılığa elverişli alanlar ve ticaret yolları etkili oldu. Bizans’ın siyasi karışıklık içinde olması Türk ilerleyişini kolaylaştırdı. Gaza ve cihat anlayışı da fetihleri teşvik etti. Oğuz göçleri Anadolu’nun Türkleşme ve İslamlaşma sürecini hızlandırdı.
Tarih	14	Anadolu'nun İlk Siyasi Teşekkülleri	1	Anadolu'da Kurulan İlk Türk Beylikleri	Malazgirt Zaferi’nden sonra Anadolu’da Saltuklular, Danişmentliler, Mengücekliler, Artuklular ve Çaka Beyliği kuruldu. Saltuklular Anadolu’daki ilk Türk beyliği kabul edilir. Danişmentliler Yağıbasan Medresesi’ni kurarak eğitim alanında öne çıktı. Çaka Bey, ilk Türk donanmasını kurarak denizcilik faaliyetlerini başlattı.
Tarih	14	Anadolu'nun İlk Siyasi Teşekkülleri	2	Türkiye Selçuklu Devleti ve Miryokefalon	Türkiye Selçuklu Devleti, Kutalmışoğlu Süleyman Şah tarafından İznik merkezli kuruldu. Haçlı Seferleri nedeniyle başkent Konya’ya taşındı. 1176 Miryokefalon Savaşı ile Bizans’ın Anadolu’yu geri alma ümidi büyük ölçüde sona erdi. Bu zafer, Anadolu’nun kesin Türk yurdu hâline geldiğinin önemli göstergesi kabul edilir.
Tarih	15	Hilal ve Haç Mücadelesi	1	Haçlı Seferleri ve Nedenleri	Haçlı Seferleri, Hristiyan Avrupa’nın Kudüs ve çevresindeki kutsal yerleri ele geçirmek amacıyla düzenlediği seferlerdir. Seferlerin dinî nedenlerinin yanında ticaret yollarına hâkim olma, toprak kazanma ve Doğu’nun zenginliklerine ulaşma isteği de etkili olmuştur. I. Haçlı Seferi sonunda Urfa Kontluğu, Antakya Prensliği, Kudüs Krallığı ve Trablus Kontluğu kuruldu. Papa II. Urban’ın çağrısı seferlerin başlamasında etkili oldu.
Tarih	15	Hilal ve Haç Mücadelesi	2	Sonraki Seferler ve Genel Sonuçlar	1187 Hıttin Savaşı’nda Selahaddin Eyyubi Kudüs’ü Haçlılardan geri aldı; bunun üzerine III. Haçlı Seferi düzenlendi. IV. Haçlı Seferi’nde Haçlılar İstanbul’u işgal ederek Latin İmparatorluğu’nu kurdu. Haçlı Seferleri sonunda Avrupa’da derebeylik zayıfladı, merkezî krallıklar ve ticaret güç kazandı. Doğu-Batı etkileşimi arttı; pusula, barut ve kâğıt gibi gelişmeler Avrupa’da yaygınlaştı.
Tarih	16	Moğol İstilası ve Anadolu	1	Yassıçemen, Baba İshak ve Kösedağ Savaşı	1230 Yassıçemen Savaşı sonunda Harzemşahlar yıkıldı ve Türkiye Selçuklu Devleti Moğollarla komşu oldu. 1240 Baba İshak İsyanı, Türkiye Selçuklu Devleti’ni içten zayıflattı. 1243 Kösedağ Savaşı’nda Moğollara yenilen Türkiye Selçuklu Devleti Moğol egemenliğine girdi. Bu süreçte Anadolu’da siyasi birlik bozuldu ve II. Dönem Türk Beylikleri ortaya çıktı.
Tarih	17	Osmanlı Beyliği'nin Kuruluşu	1	Osman ve Orhan Gazi Dönemi	Osmanlı Beyliği, Bizans sınırındaki Söğüt ve Domaniç çevresinde Kayı Boyu tarafından kuruldu. 1302 Koyunhisar Savaşı, Osmanlı hanedanının siyasi ve kurumsal olarak devletleşmesinin başlangıcı kabul edilir. Orhan Gazi döneminde Bursa fethedilerek merkez yapıldı; yaya ve müsellem adı verilen ilk düzenli birlikler kuruldu. 1329 Maltepe Savaşı ile Bizans’ın Anadolu’daki gücü zayıfladı, Kocaeli çevresi Osmanlı hâkimiyetine girdi.
Tarih	18	Osmanlı Devleti'nin Rumeli'de İskânı	1	Rumeli'ye Geçiş ve Çimpe Kalesi	Karesioğulları’nın Osmanlı topraklarına katılmasıyla Osmanlı Devleti donanma gücü kazandı. Orhan Bey, Bizans’taki taht mücadelesinde Kantakuzen’e yardım etti. Bu yardımın karşılığında 1353’te Çimpe Kalesi Osmanlılara verildi. Çimpe Kalesi, Osmanlıların Rumeli’de elde ettiği ilk toprak ve Balkan fetihlerinin başlangıcı oldu.
Tarih	18	Osmanlı Devleti'nin Rumeli'de İskânı	2	İskân ve İstimâlet Politikası	Osmanlı Devleti, fethedilen yerlere Türkmen nüfus yerleştirerek iskân politikası uyguladı. Bu politika Rumeli’nin Türkleşmesini, İslamlaşmasını ve bölgede kalıcı egemenlik kurulmasını sağladı. İstimâlet politikasıyla gayrimüslim halka din, dil ve yaşam özgürlüğü tanındı. Böylece halkın Osmanlı yönetimine uyumu kolaylaştı ve isyanlar azaltılmaya çalışıldı.
Tarih	19	Anadolu'da Türk Siyasi Birliğini Sağlama	1	Osmanlı'nın Beylikleri Katma Politikası	Osmanlı Devleti Anadolu Türk siyasi birliğini evlilik, satın alma, savaş ve diplomasi gibi yöntemlerle sağlamaya çalıştı. Osmanlı topraklarına katılan ilk Anadolu beyliği Karesioğulları’dır. Karesioğulları’nın katılmasıyla Osmanlı hem donanma kazandı hem Rumeli fetihleri için önemli bir avantaj elde etti. Beyliklerin Osmanlı yönetiminde birleşmesi merkezî otoriteyi güçlendirdi.
Tarih	19	Anadolu'da Türk Siyasi Birliğini Sağlama	2	Ankara Savaşı ve Fetret Devri	1402 Ankara Savaşı’nda Osmanlı Devleti Timur’a yenildi ve Yıldırım Bayezid esir düştü. Savaşın ardından Anadolu Türk siyasi birliği bozuldu, birçok beylik yeniden kuruldu ve Fetret Devri başladı. Yaklaşık 11 yıl süren taht mücadeleleri, Çelebi Mehmet’in tahta çıkmasıyla sona erdi. Çelebi Mehmet, devleti yeniden toparladığı için Osmanlı’nın ikinci kurucusu kabul edilir.
Tarih	20	Savaşçılar ve Askerler	1	Tımar Sistemi ve Tımarlı Sipahiler	Tımar sistemi, devlete ait toprakların gelirlerini bazı asker ve görevlilere hizmet karşılığında bırakma uygulamasıdır. Tımarlı sipahiler sefer zamanında orduya katılır, taşrada güvenliği sağlar ve cebelü adı verilen atlı askerler yetiştirirdi. Sistem tarımsal üretimin devamını ve vergilerin düzenli toplanmasını destekledi. Osmanlı Devleti bu sayede hazineden doğrudan para harcamadan güçlü eyalet askerleri yetiştirdi.
Tarih	20	Savaşçılar ve Askerler	2	Kapıkulu Ocakları ve Devşirme	Kapıkulu Ocakları, Osmanlı Devleti’nin maaşlı ve sürekli merkez ordusunu oluştururdu. Yeniçeriler bu ordunun en önemli piyade gücüydü; üç ayda bir ulufe adı verilen maaş alırlardı. Pençik sistemi savaş esirlerinin beşte birinin devlet hizmetine alınmasına dayanırdı. Devşirme sistemiyle Rumeli’deki Hristiyan ailelerden alınan çocuklar eğitilerek askerî ve idarî görevlerde yetiştirilirdi.
Tarih	21	Sosyal ve Kültürel Faaliyetler	1	Osmanlı'da Yönetici Sınıflar (Askerî)	Osmanlı toplumunda yöneten kesime askerî, vergi veren halka ise reaya denirdi. Askerî sınıf seyfiye, ilmiye ve kalemiye olarak ayrılırdı. Seyfiye askerî ve idarî işlerle; ilmiye eğitim, din ve adaletle; kalemiye ise yazışma ve mali işlerle ilgilenirdi. Kadı, kazasker ve şeyhülislam ilmiye; defterdar ve nişancı kalemiye sınıfında yer alırdı.
Tarih	21	Sosyal ve Kültürel Faaliyetler	2	Mutasavvıflar ve Bilim İnsanları	Ahilik teşkilatının kurucusu Ahi Evran’dır; teşkilat esnaf arasında dayanışmayı, üretim kalitesini ve meslek ahlakını geliştirmiştir. Akşemseddin, hastalıkların gözle görülmeyen canlılarla bulaştığını belirten fikirleriyle tanınır. Ali Kuşçu, astronomi ve matematik alanındaki çalışmalarıyla öne çıkmıştır. Bu isimler Osmanlı toplumunda bilim, tasavvuf ve meslek hayatının gelişmesine katkı sağlamıştır.
Tarih	22	İstanbul'un Fethi ve Sonuçları	1	Fethin Nedenleri ve Hazırlıklar	İstanbul’un fethi, Osmanlı toprak bütünlüğünü sağlamak ve Bizans’ın Osmanlı aleyhindeki faaliyetlerine son vermek amacıyla gerçekleştirildi. Fatih Sultan Mehmet, Rumeli Hisarı’nı yaptırdı; Şahi toplarını döktürdü ve güçlü bir donanma hazırladı. Bizans’ın denizden yardım almasını engellemek için Boğaz denetim altına alındı. Fetih 29 Mayıs 1453’te gerçekleşti.
Tarih	22	İstanbul'un Fethi ve Sonuçları	2	Fethin Dünya Tarihine Etkisi	İstanbul’un fethiyle Bizans Devleti sona erdi; geleneksel kabulde Orta Çağ kapanıp Yeni Çağ başladı. Büyük topların surları yıkabileceğinin anlaşılması Avrupa’da derebeyliklerin zayıflamasını hızlandırdı. Bizanslı bazı bilim insanlarının İtalya’ya gitmesi Rönesans’ın gelişimine katkı sağladı. İstanbul, Osmanlı Devleti’nin siyasi ve ekonomik merkezi hâline geldi.
Tarih	23	İslam Dünyasında Birliği Sağlama	1	Safevi ve Memluk Mücadelesi (Yavuz Dönemi)	Yavuz Sultan Selim, 1514 Çaldıran Savaşı ile Safevi tehlikesini büyük ölçüde azalttı ve doğu sınırını güvence altına aldı. 1516 Mercidabık ve 1517 Ridaniye savaşlarıyla Memlük Devleti yıkıldı. Suriye, Filistin, Mısır ve Hicaz Osmanlı topraklarına katıldı; Baharat Yolu’nun önemli kısmı Osmanlı denetimine geçti. Halifeliğin Osmanlılara geçmesiyle Osmanlı Devleti İslam dünyasında daha güçlü bir konum kazandı.
Tarih	24	Dünyanın Muhteşem Gücü Osmanlı	1	Kanuni Sultan Süleyman Dönemi	Kanuni Sultan Süleyman döneminde Osmanlı Devleti siyasi, askerî ve hukuk alanlarında en güçlü dönemlerinden birini yaşadı. Belgrad ve Rodos fethedildi; 1526 Mohaç Meydan Muharebesi ile Macaristan Krallığı sona erdirildi. 1533 İstanbul Antlaşması, Osmanlı’nın Avusturya karşısındaki siyasi üstünlüğünü gösterdi. Kanuni’nin son seferi Zigetvar Seferi oldu.
Tarih	25	Stratejik Siyaset ve Dünya Gücü	1	Kapitülasyonlar	Kapitülasyonlar, Osmanlı Devleti’nin yabancı devletlere verdiği ticari ve hukuki ayrıcalıklardır. Kanuni Sultan Süleyman, Fransa’ya kapitülasyon vererek Avrupa’daki Habsburg baskısını dengelemeyi ve Haçlı birliğini parçalamayı amaçladı. Başlangıçta geçici olan kapitülasyonlar 1740’ta sürekli hâle geldi. Zamanla yabancı devletlerin ekonomik üstünlük kurmasına yol açarak Osmanlı ekonomisini olumsuz etkiledi.
Tarih	25	Stratejik Siyaset ve Dünya Gücü	2	Hint Deniz Seferleri	Osmanlı Devleti, Portekiz’in Baharat Yolu ticaretini engellemesi ve Müslüman gemilerine saldırması üzerine Hint Deniz Seferleri düzenledi. Amaç Baharat Yolu’nu canlandırmak, Portekiz üstünlüğünü kırmak ve bölgedeki Müslüman devletlere yardım etmekti. Seferler sonucunda Kızıldeniz ve Basra Körfezi’nin güvenliği güçlendirildi. Ancak Osmanlı gemilerinin açık denizlere yeterince dayanıklı olmaması ve bölge halkının tam destek vermemesi nedeniyle kesin başarı sağlanamadı.
Tarih	26	Saray ve Şehir Kültürü	1	Saray Teşkilatı	Osmanlı sarayı Birun, Enderun ve Harem olmak üzere üç bölümden oluşurdu. Birun devlet hizmetlerinin yürütüldüğü dış saray bölümüdür. Enderun, devşirme kökenli öğrencilerin yetiştirildiği ve devlet adamı yetiştiren eğitim kurumudur. Harem ise padişahın ailesiyle birlikte yaşadığı özel bölümdür.
Tarih	26	Saray ve Şehir Kültürü	2	Divan-ı Hümayun	Divan-ı Hümayun, devlet işlerinin görüşüldüğü en önemli yönetim organıdır. Fatih Sultan Mehmet döneminden itibaren divana sadrazam başkanlık etmeye başlamıştır. Defterdar mali işlerden, kazasker adalet ve eğitimden, nişancı ise devlet yazışmaları ile tapu işlerinden sorumluydu. Divan, merkezî yönetimin karar alma mekanizmasını oluştururdu.
Tarih	26	Saray ve Şehir Kültürü	3	Gelenekler Işığında Devlet İdaresi	Fatih Sultan Mehmet, merkezi otoriteyi güçlendirmek için kanunnameler hazırlattı ve kardeş katli uygulamasını hukuki zemine oturttu. I. Ahmet döneminde Ekber ve Erşed Sistemi kabul edilerek hanedanın en yaşlı üyesinin tahta geçmesi benimsendi. Şehzadelerin sancağa çıkma usulü kaldırıldı ve kafes usulü yaygınlaştı. Bu değişiklikler taht kavgalarını azaltmayı amaçladı.
Tarih	27	Millet Sistemi	1	Osmanlı Millet Sistemi	Osmanlı Devleti toplumunu din ve mezhep esasına göre millet sistemiyle yönetmiştir. Gayrimüslimler kendi dinî, hukuki ve eğitim işlerinde serbest bırakılmıştır. Bunun karşılığında devlete cizye vergisi ödemişlerdir. Millet sistemi, farklı toplulukların uzun süre Osmanlı yönetimi altında birlikte yaşamasını sağlamıştır.
Tarih	28	Toprak Sistemi ve Lonca	1	Osmanlı Toprak Sistemi	Osmanlı toprakları miri, mülk ve vakıf arazileri olarak üçe ayrılmıştır. Miri arazilerin mülkiyeti devlete aittir; bu toprakların gelirleri has, zeamet ve tımar olarak dağıtılmıştır. Tımar sistemi hem devlet gelirlerinin düzenli toplanmasını hem de asker yetiştirilmesini sağlamıştır. Toprağın boş kalmaması ve üretimin sürmesi devlet tarafından önemsenmiştir.
Tarih	28	Toprak Sistemi ve Lonca	2	Lonca Teşkilatı ve Narh	Lonca teşkilatı, esnaf ve zanaatkârlar arasında meslek düzenini, üretim kalitesini ve dayanışmayı sağlamıştır. Çıraklık, kalfalık ve ustalık sistemiyle nitelikli eleman yetiştirilmiştir. Devlet, temel ihtiyaç maddelerinin fiyatlarını narh uygulamasıyla denetlemiştir. Gedik sistemi ise bir mesleği yapma hakkını düzenlemiştir.
Tarih	29	Uzun Savaşlardan Diplomasiye	1	Zitvatorok ve Bucaş Antlaşmaları	1606 Zitvatorok Antlaşması ile Osmanlı Devleti’nin Avusturya üzerindeki siyasi üstünlüğü sona erdi ve Avusturya hükümdarı Osmanlı padişahına denk kabul edildi. 1672 Bucaş Antlaşması ile Podolya Osmanlı topraklarına katıldı. Bucaş Antlaşması, Osmanlı Devleti’nin batıda ulaştığı en geniş sınırları göstermesi bakımından önemlidir. Bu dönem Osmanlı’nın uzun savaşlar yerine diplomasiye daha fazla yönelmeye başladığı süreçtir.
